Staff_id,FirstName,Salary_rate,Phone,Role
1001,Alex,27.28,555-0138,Server
1002,Jordan,27.24,555-0178,Chef
1003,Taylor,21.4,555-0125,Chef
1004,Morgan,25.86,555-0154,Manager
1005,Casey,17.47,555-0160,Manager
1006,Jamie,21.38,555-0180,Chef
1007,Riley,25.92,555-0194,Cleaner
1008,Avery,23.45,555-0118,Manager
1009,Cameron,22.73,555-0160,Cleaner
1010,Skyler,21.16,555-0123,Cashier
1011,Peyton,23.55,555-0144,Manager
1012,Quinn,18.11,555-0122,Cleaner
1013,Rowan,19.53,555-0139,Chef
1014,Sawyer,29.56,555-0118,Cashier
1015,Drew,19.75,555-0173,Server
1016,Emerson,27.9,555-0191,Server
1017,Hayden,27.64,555-0131,Cleaner
1018,Reese,24.7,555-0152,Cleaner
1019,Blake,15.31,555-0166,Manager
1020,Finley,26.36,555-0143,Cleaner
